Gender,Age,Annual Income,Income Type,Employment Duration,Education Level,Marital Status,Occupation,Number of Children,Housing Type,Credit History,Loan Amount,Existing Loan Balance,Number of Credit Inquiries,Monthly Income,Employment Status,Approved
Male,52.8,30376.5,Working,11.4,Higher education,Married,Accountants,1,House / apartment,Good,57706.34,0.0,0,2531.37,Employed,1
Male,58.8,58214.74,Working,12.6,Secondary / secondary special,Married,Laborers,3,With parents,Good,138045.58,0.0,0,4851.23,Employed,1
Female,33.5,47842.7,Pensioner,0.0,Secondary / secondary special,Married,Laborers,1,House / apartment,Bad,48166.3,52894.76,0,3986.89,Retired,0
Female,41.6,49831.3,Working,12.1,Secondary / secondary special,Married,Drivers,1,House / apartment,Good,109276.46,42502.59,3,4152.61,Employed,0
Female,24.9,33548.66,Working,6.5,Higher education,Single / not married,Security staff,1,House / apartment,Good,35055.97,0.0,2,2795.72,Employed,1
Male,28.3,43686.73,Commercial associate,0.5,Secondary / secondary special,Married,Private service staff,1,House / apartment,Good,23188.35,7146.26,0,3640.56,Employed,1
Male,56.8,30880.6,Working,13.7,Higher education,Single / not married,High skill tech staff,1,House / apartment,Good,5000.0,5650.82,0,2573.38,Employed,1
Female,28.3,76504.07,State servant,8.9,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Good,68274.87,75689.61,2,6375.34,Employed,1
Male,47.9,82258.72,Commercial associate,11.9,Secondary / secondary special,Civil marriage,Medicine staff,0,House / apartment,Good,82944.77,63039.81,1,6854.89,Employed,1
Male,58.4,19475.37,Working,8.0,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,46123.18,32543.81,2,1622.95,Employed,0
Female,24.1,30799.22,Pensioner,0.0,Secondary / secondary special,Married,High skill tech staff,0,With parents,Bad,18312.25,15740.65,0,2566.6,Retired,0
Male,50.3,23196.01,Working,13.7,Secondary / secondary special,Married,High skill tech staff,0,House / apartment,Good,23598.54,2497.11,4,1933.0,Employed,1
Female,32.6,35418.45,Working,5.6,Secondary / secondary special,Married,Managers,0,House / apartment,Bad,5680.05,2710.64,2,2951.54,Employed,0
Male,72.9,47017.78,Working,0.0,Secondary / secondary special,Married,Cleaning staff,2,House / apartment,Good,90861.63,104237.33,0,3918.15,Retired,1
Female,45.6,23746.19,Working,25.2,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,54529.3,0.0,1,1978.85,Employed,1
Male,63.9,30917.27,Commercial associate,30.5,Secondary / secondary special,Widow,Sales staff,0,Municipal apartment,Good,20738.36,0.0,0,2576.44,Employed,1
Female,49.4,29673.85,Pensioner,0.0,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,33519.23,11896.85,0,2472.82,Retired,1
Female,20.5,54373.58,Working,1.2,Higher education,Married,Private service staff,1,House / apartment,Good,21372.64,0.0,1,4531.13,Employed,1
Male,54.1,50750.27,Working,35.7,Higher education,Single / not married,High skill tech staff,0,House / apartment,Good,60717.88,0.0,0,4229.19,Employed,1
Female,72.2,34170.95,State servant,0.0,Higher education,Married,High skill tech staff,0,House / apartment,Good,14352.55,0.0,1,2847.58,Retired,1
Female,52.3,53552.11,Working,16.0,Secondary / secondary special,Civil marriage,Medicine staff,0,House / apartment,Bad,72618.61,37125.78,0,4462.68,Employed,0
Female,64.7,37296.69,Working,2.3,Secondary / secondary special,Married,Secretaries,2,House / apartment,Good,69487.2,76488.37,2,3108.06,Employed,0
Female,68.4,42794.82,Working,0.0,Secondary / secondary special,Single / not married,Realty agents,3,With parents,Good,61111.98,0.0,0,3566.24,Retired,1
Female,31.0,113179.01,Pensioner,0.0,Secondary / secondary special,Married,HR staff,3,With parents,Bad,77926.81,0.0,2,9431.58,Retired,0
Female,30.1,95820.37,Working,3.2,Secondary / secondary special,Civil marriage,High skill tech staff,0,House / apartment,Good,90944.1,84562.28,0,7985.03,Employed,1
Male,52.8,25596.46,Commercial associate,15.2,Secondary / secondary special,Single / not married,IT staff,1,House / apartment,Good,41788.13,0.0,0,2133.04,Employed,1
Male,41.4,74225.74,Pensioner,0.0,Secondary / secondary special,Married,Security staff,1,House / apartment,Good,112482.64,41881.05,1,6185.48,Retired,1
Male,65.9,73548.35,Working,0.0,Higher education,Married,Realty agents,0,House / apartment,Good,31497.78,2313.63,0,6129.03,Retired,1
Male,69.3,27608.21,Working,0.0,Higher education,Married,Drivers,0,House / apartment,Good,58746.92,9437.55,0,2300.68,Retired,1
Male,38.1,73820.28,Pensioner,0.0,Secondary / secondary special,Widow,High skill tech staff,0,House / apartment,Good,91570.62,41829.06,0,6151.69,Retired,1
Male,31.5,105764.05,Working,2.1,Lower secondary,Married,Private service staff,1,Municipal apartment,Bad,51791.19,1822.07,6,8813.67,Employed,0
Female,62.5,27965.52,Commercial associate,37.9,Higher education,Married,Cleaning staff,0,House / apartment,Good,11040.33,0.0,0,2330.46,Employed,1
Male,33.7,30984.69,State servant,12.0,Higher education,Married,HR staff,0,House / apartment,Good,74900.05,68917.38,2,2582.06,Employed,1
Male,64.9,81538.51,Commercial associate,10.7,Secondary / secondary special,Married,IT staff,0,House / apartment,Good,63248.14,55938.07,1,6794.88,Employed,1
Female,42.2,56148.07,Commercial associate,14.3,Secondary / secondary special,Married,Security staff,1,House / apartment,Good,128052.68,0.0,0,4679.01,Employed,1
Male,56.1,64585.04,Pensioner,0.0,Secondary / secondary special,Separated,Laborers,2,House / apartment,Bad,70100.91,15288.81,1,5382.09,Retired,0
Female,23.4,58121.71,Pensioner,0.0,Secondary / secondary special,Married,Sales staff,1,House / apartment,Good,59645.17,0.0,3,4843.48,Retired,1
Male,53.6,59596.25,Working,25.7,Incomplete higher,Single / not married,Security staff,1,House / apartment,Good,106214.2,113361.07,1,4966.35,Employed,0
Female,43.8,25254.61,Working,24.2,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Good,5000.0,4833.44,3,2104.55,Employed,1
Female,51.4,82756.58,Working,29.5,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,75425.58,12196.85,0,6896.38,Employed,1
Male,27.6,87973.86,Commercial associate,4.9,Secondary / secondary special,Married,Accountants,0,House / apartment,Good,72697.17,52446.46,1,7331.15,Employed,1
Male,60.0,43708.8,Working,31.0,Secondary / secondary special,Married,Managers,3,House / apartment,Good,95435.33,74458.93,0,3642.4,Employed,1
Female,67.2,47966.66,Commercial associate,0.0,Secondary / secondary special,Separated,Private service staff,4,House / apartment,Good,65709.36,55481.23,0,3997.22,Retired,1
Female,30.4,22798.41,Working,6.9,Higher education,Civil marriage,Waiters/barmen staff,1,House / apartment,Good,22227.73,24653.35,1,1899.87,Employed,1
Female,23.5,63394.18,Commercial associate,3.0,Secondary / secondary special,Married,Core staff,0,With parents,Good,46822.33,0.0,1,5282.85,Employed,1
Female,19.3,65253.09,Working,0.2,Secondary / secondary special,Married,Laborers,0,House / apartment,Good,99003.53,3702.22,0,5437.76,Employed,1
Male,54.6,47519.93,Commercial associate,4.6,Secondary / secondary special,Married,Realty agents,0,Rented apartment,Good,22049.99,0.0,0,3959.99,Employed,1
Male,52.6,86006.37,Working,18.3,Secondary / secondary special,Separated,Medicine staff,2,House / apartment,Bad,59421.07,0.0,1,7167.2,Employed,0
Male,49.2,41479.78,Working,8.4,Secondary / secondary special,Civil marriage,Sales staff,1,House / apartment,Good,33377.5,0.0,1,3456.65,Employed,1
Female,31.2,65010.43,Working,0.3,Higher education,Single / not married,High skill tech staff,2,House / apartment,Bad,101350.05,56995.54,0,5417.54,Employed,0
Female,40.3,29441.72,Commercial associate,16.1,Secondary / secondary special,Married,Low-skill Laborers,1,House / apartment,Good,29318.41,0.0,0,2453.48,Employed,1
Male,51.9,48446.91,Working,1.1,Secondary / secondary special,Married,Security staff,0,House / apartment,Good,63653.43,0.0,2,4037.24,Employed,1
Male,46.3,44928.29,Working,16.9,Incomplete higher,Married,Security staff,0,House / apartment,Good,74628.21,9916.89,2,3744.02,Employed,1
Male,74.3,54866.27,State servant,0.0,Incomplete higher,Married,Security staff,0,House / apartment,Good,131407.55,5655.11,0,4572.19,Retired,1
Male,25.8,40751.04,Commercial associate,4.2,Higher education,Married,Secretaries,1,House / apartment,Good,78878.1,0.0,0,3395.92,Employed,1
Female,57.6,45901.99,State servant,38.4,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Good,49235.22,21666.44,0,3825.17,Employed,1
Female,41.0,74089.09,Working,11.2,Higher education,Married,HR staff,1,House / apartment,Good,140462.61,26459.51,3,6174.09,Employed,1
Female,42.4,39403.81,Working,1.6,Secondary / secondary special,Civil marriage,Core staff,1,House / apartment,Good,93752.16,84548.12,2,3283.65,Employed,0
Male,58.9,21954.15,Pensioner,0.0,Secondary / secondary special,Single / not married,Waiters/barmen staff,0,House / apartment,Good,28507.76,0.0,0,1829.51,Retired,1
Male,57.5,117570.33,Working,21.8,Higher education,Married,High skill tech staff,0,House / apartment,Good,127586.45,0.0,2,9797.53,Employed,1
Female,74.5,97804.61,Commercial associate,0.0,Secondary / secondary special,Married,Core staff,0,House / apartment,Good,28093.87,0.0,0,8150.38,Retired,1
Female,25.3,25690.3,Working,6.2,Higher education,Married,Medicine staff,1,House / apartment,Good,57589.65,9364.81,0,2140.86,Employed,1
Female,23.9,69206.77,Working,5.9,Higher education,Single / not married,Managers,0,House / apartment,Good,47852.48,8765.13,3,5767.23,Employed,1
Female,59.3,38120.7,Working,17.2,Secondary / secondary special,Single / not married,Waiters/barmen staff,0,House / apartment,Good,9663.56,0.0,3,3176.72,Employed,1
Female,51.0,55923.7,Working,10.6,Secondary / secondary special,Single / not married,Cleaning staff,2,House / apartment,Good,77694.15,0.0,2,4660.31,Employed,1
Female,33.6,56789.8,Working,14.2,Incomplete higher,Single / not married,Waiters/barmen staff,1,House / apartment,Good,120971.32,13035.47,1,4732.48,Employed,1
Male,22.5,43599.29,Working,0.9,Secondary / secondary special,Married,Private service staff,0,House / apartment,Good,46909.53,33650.13,0,3633.27,Employed,1
Male,22.9,33127.44,State servant,3.0,Secondary / secondary special,Married,HR staff,1,House / apartment,Good,65571.19,55479.65,3,2760.62,Employed,0
Male,69.0,34708.14,Working,0.0,Secondary / secondary special,Married,High skill tech staff,2,With parents,Bad,73142.21,61141.6,1,2892.34,Retired,0
Male,28.9,31005.01,Commercial associate,4.4,Higher education,Married,Laborers,1,House / apartment,Good,36913.59,10511.26,0,2583.75,Employed,1
Female,36.4,32340.93,Pensioner,0.0,Higher education,Single / not married,Private service staff,0,House / apartment,Bad,49102.98,0.0,1,2695.08,Retired,0
Male,30.9,47401.58,Working,0.5,Secondary / secondary special,Married,Accountants,0,House / apartment,Good,65480.05,46743.09,3,3950.13,Employed,1
Female,38.2,34273.23,Working,7.0,Secondary / secondary special,Married,Medicine staff,1,House / apartment,Bad,80681.6,421.47,3,2856.1,Employed,0
Female,22.0,68942.36,Commercial associate,1.0,Secondary / secondary special,Married,Security staff,0,House / apartment,Bad,126937.61,142088.59,1,5745.2,Employed,0
Male,47.6,103117.36,Commercial associate,20.3,Secondary / secondary special,Widow,Core staff,1,House / apartment,Good,239317.12,277875.67,2,8593.11,Employed,0
Male,21.9,36679.5,Commercial associate,3.7,Secondary / secondary special,Married,IT staff,2,House / apartment,Good,23035.61,3865.96,0,3056.63,Employed,1
Female,63.6,55254.34,Commercial associate,10.7,Higher education,Married,Low-skill Laborers,2,House / apartment,Good,46666.08,27697.88,1,4604.53,Employed,1
Male,31.3,62934.05,State servant,10.8,Higher education,Married,Drivers,0,House / apartment,Good,17004.3,10302.12,1,5244.5,Employed,1
Male,48.8,62068.95,Working,1.7,Secondary / secondary special,Married,Cooking staff,0,House / apartment,Bad,80675.92,2329.96,0,5172.41,Employed,0
Male,68.2,50918.3,Working,0.0,Secondary / secondary special,Married,Private service staff,0,House / apartment,Bad,111888.73,0.0,2,4243.19,Retired,0
Male,55.1,71064.36,Commercial associate,20.0,Incomplete higher,Single / not married,IT staff,1,House / apartment,Good,62851.6,74448.11,4,5922.03,Employed,1
Female,48.4,62387.77,Working,2.1,Higher education,Married,High skill tech staff,0,House / apartment,Bad,25446.54,0.0,0,5198.98,Employed,0
Female,36.5,26401.31,Pensioner,0.0,Academic degree,Civil marriage,Sales staff,0,House / apartment,Bad,6977.1,2551.41,2,2200.11,Retired,0
Female,37.0,75703.38,Working,17.7,Higher education,Married,Secretaries,0,House / apartment,Good,88875.81,0.0,1,6308.61,Employed,1
Female,56.2,76392.93,Working,29.2,Higher education,Married,Accountants,0,House / apartment,Good,37711.54,0.0,1,6366.08,Employed,1
Female,74.7,33468.4,Pensioner,0.0,Academic degree,Separated,High skill tech staff,0,House / apartment,Good,31147.35,0.0,2,2789.03,Retired,1
Male,55.7,49959.55,Working,24.8,Secondary / secondary special,Married,Managers,0,House / apartment,Good,103313.92,83596.44,0,4163.3,Employed,1
Female,49.8,68986.39,Working,26.2,Secondary / secondary special,Married,Drivers,1,House / apartment,Good,70484.34,70624.89,2,5748.87,Employed,1
Female,59.6,44149.77,Working,25.9,Higher education,Single / not married,Sales staff,0,House / apartment,Good,69036.57,55951.76,0,3679.15,Employed,1
Female,44.5,83825.21,Pensioner,0.0,Secondary / secondary special,Married,Security staff,0,House / apartment,Good,109407.33,87472.87,2,6985.43,Retired,1
Female,21.4,159841.22,Working,3.3,Incomplete higher,Single / not married,High skill tech staff,2,House / apartment,Good,291627.1,0.0,1,13320.1,Employed,0
Male,50.1,33090.68,Pensioner,0.0,Secondary / secondary special,Married,Low-skill Laborers,2,House / apartment,Bad,15711.32,11172.93,0,2757.56,Retired,0
Male,72.6,24574.82,Working,0.0,Secondary / secondary special,Married,Managers,0,House / apartment,Good,56744.7,0.0,0,2047.9,Retired,1
Male,28.0,57062.89,Commercial associate,7.1,Higher education,Married,Core staff,0,House / apartment,Good,93852.41,96824.93,0,4755.24,Employed,1
Male,57.3,70317.87,Pensioner,0.0,Secondary / secondary special,Single / not married,Managers,1,House / apartment,Good,52758.72,34967.85,0,5859.82,Retired,1
Female,29.5,43676.56,Working,10.6,Secondary / secondary special,Married,Medicine staff,0,House / apartment,Good,17287.57,0.0,0,3639.71,Employed,1
Female,48.5,101379.92,Working,15.8,Higher education,Single / not married,Low-skill Laborers,0,House / apartment,Good,46567.99,20054.69,2,8448.33,Employed,1
Male,23.5,25101.86,Working,0.6,Secondary / secondary special,Separated,Cooking staff,0,House / apartment,Good,49661.29,59218.99,3,2091.82,Employed,0
Female,43.7,69317.96,Commercial associate,13.6,Higher education,Married,Realty agents,0,House / apartment,Good,104771.61,10671.21,4,5776.5,Employed,1
Male,61.1,36209.24,Working,5.1,Incomplete higher,Married,Security staff,1,House / apartment,Bad,36709.65,41634.8,3,3017.44,Employed,0
Male,37.8,115808.0,Commercial associate,11.7,Secondary / secondary special,Married,Laborers,2,House / apartment,Good,104107.0,113832.71,2,9650.67,Employed,1
Male,55.9,132754.61,Working,18.3,Higher education,Married,Low-skill Laborers,1,House / apartment,Good,285929.43,164831.77,0,11062.88,Employed,1
Male,63.3,33412.04,Working,24.9,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,73487.45,0.0,2,2784.34,Employed,1
Female,70.8,37243.08,Working,0.0,Secondary / secondary special,Married,Secretaries,0,House / apartment,Bad,55679.48,49786.91,2,3103.59,Retired,0
Male,31.4,75342.07,Working,0.1,Secondary / secondary special,Widow,Core staff,1,House / apartment,Good,102382.77,0.0,0,6278.51,Employed,1
Female,40.8,40393.92,Working,4.4,Lower secondary,Separated,Cleaning staff,0,House / apartment,Bad,83190.29,0.0,1,3366.16,Employed,0
Female,26.7,47920.3,Pensioner,0.0,Secondary / secondary special,Civil marriage,Waiters/barmen staff,0,House / apartment,Good,90972.1,74713.83,1,3993.36,Retired,0
Male,74.6,49647.05,Commercial associate,0.0,Incomplete higher,Civil marriage,Secretaries,1,House / apartment,Bad,52664.62,0.0,3,4137.25,Retired,0
Female,70.8,18772.78,Working,0.0,Secondary / secondary special,Married,Waiters/barmen staff,2,Co-op apartment,Good,5605.04,0.0,1,1564.4,Retired,1
Female,48.8,48682.8,State servant,15.1,Higher education,Single / not married,HR staff,0,House / apartment,Good,94658.85,0.0,4,4056.9,Employed,1
Male,66.0,34722.25,Commercial associate,0.0,Secondary / secondary special,Civil marriage,Secretaries,2,House / apartment,Good,17530.66,0.0,0,2893.52,Retired,1
Female,47.7,38308.94,State servant,28.2,Secondary / secondary special,Married,Security staff,0,House / apartment,Bad,5336.61,4584.06,0,3192.41,Employed,0
Male,53.5,100893.02,Working,13.6,Secondary / secondary special,Separated,Drivers,0,House / apartment,Good,214289.35,204173.68,5,8407.75,Employed,0
Male,23.1,26153.72,Working,2.2,Incomplete higher,Married,Drivers,0,With parents,Bad,38911.74,35822.99,0,2179.48,Employed,0
Male,61.1,73614.89,Working,28.6,Secondary / secondary special,Married,Cleaning staff,1,House / apartment,Good,164897.24,138195.94,0,6134.57,Employed,0
Female,25.3,42638.74,Commercial associate,4.4,Incomplete higher,Single / not married,Managers,2,House / apartment,Good,53853.22,46293.93,1,3553.23,Employed,1
Female,65.1,42621.75,Working,0.0,Secondary / secondary special,Separated,Realty agents,1,House / apartment,Good,99033.96,15302.12,3,3551.81,Retired,1
Male,62.6,72779.23,Working,12.0,Secondary / secondary special,Married,Sales staff,0,House / apartment,Good,69106.23,0.0,0,6064.94,Employed,1
Male,58.4,58106.08,Working,16.4,Secondary / secondary special,Single / not married,Managers,0,Office apartment,Good,106848.53,121324.32,0,4842.17,Employed,0
Female,20.1,65205.98,Working,0.4,Secondary / secondary special,Married,Waiters/barmen staff,1,With parents,Good,53623.29,24101.59,1,5433.83,Employed,1
Male,35.3,79546.13,Commercial associate,16.7,Lower secondary,Married,Accountants,0,House / apartment,Good,8176.77,0.0,1,6628.84,Employed,1
Male,33.0,41537.25,Working,2.0,Secondary / secondary special,Single / not married,Medicine staff,0,House / apartment,Bad,42010.23,47111.84,0,3461.44,Employed,0
Female,38.5,36093.99,Working,7.6,Higher education,Married,HR staff,3,House / apartment,Good,67518.76,0.0,3,3007.83,Employed,1
Female,23.0,28493.31,Commercial associate,0.1,Secondary / secondary special,Single / not married,Secretaries,1,House / apartment,Good,13108.58,14339.86,2,2374.44,Employed,1
Male,71.4,32444.78,State servant,0.0,Secondary / secondary special,Married,Accountants,0,House / apartment,Bad,42552.13,39220.2,3,2703.73,Retired,0
Female,49.6,214174.68,Commercial associate,7.0,Higher education,Married,IT staff,0,House / apartment,Good,130554.79,126104.44,0,17847.89,Employed,1
Female,35.4,91339.61,State servant,13.6,Higher education,Married,Private service staff,0,Municipal apartment,Good,25492.69,11863.95,1,7611.63,Employed,1
Male,40.6,24945.85,Commercial associate,4.6,Secondary / secondary special,Married,Realty agents,1,House / apartment,Good,39461.46,46805.25,5,2078.82,Employed,0
Female,43.5,25305.35,Working,2.0,Secondary / secondary special,Married,Waiters/barmen staff,2,House / apartment,Good,60346.23,31411.74,1,2108.78,Employed,0
Male,52.2,62375.82,Working,16.2,Secondary / secondary special,Separated,Secretaries,1,House / apartment,Good,52750.62,19205.54,0,5197.99,Employed,1
Female,47.4,64449.19,Commercial associate,0.3,Secondary / secondary special,Married,Secretaries,0,With parents,Good,96258.08,56885.13,7,5370.77,Employed,1
Female,70.4,64501.38,Commercial associate,0.0,Higher education,Single / not married,Drivers,0,House / apartment,Bad,154071.1,0.0,1,5375.12,Retired,0
Female,46.3,43153.64,Commercial associate,2.4,Secondary / secondary special,Married,HR staff,3,House / apartment,Good,71685.11,46134.4,2,3596.14,Employed,1
Male,74.6,46040.32,Working,0.0,Secondary / secondary special,Married,Drivers,3,House / apartment,Good,78980.88,76824.62,0,3836.69,Retired,0
Female,66.5,57753.53,Working,0.0,Higher education,Married,Core staff,0,House / apartment,Good,30576.36,18558.8,1,4812.79,Retired,1
Male,29.9,51171.93,Working,9.6,Secondary / secondary special,Married,Security staff,0,Municipal apartment,Good,65615.89,15212.4,3,4264.33,Employed,1
Male,71.0,16160.9,Working,0.0,Secondary / secondary special,Married,Security staff,0,House / apartment,Good,15853.82,0.0,1,1346.74,Retired,1
Male,24.6,43699.86,Working,5.1,Higher education,Married,Managers,2,House / apartment,Bad,53763.78,8874.27,0,3641.66,Employed,0
Female,64.6,32025.79,Pensioner,0.0,Higher education,Married,Secretaries,1,House / apartment,Good,64755.63,70993.51,0,2668.82,Retired,1
Female,39.7,53509.03,Working,19.9,Higher education,Married,Cleaning staff,1,House / apartment,Bad,64514.64,62459.08,0,4459.09,Employed,0
Male,68.0,218082.67,Working,0.0,Secondary / secondary special,Married,Laborers,0,House / apartment,Good,54704.21,56340.82,0,18173.56,Retired,1
Female,67.5,58908.51,Working,0.0,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,133916.71,12617.91,2,4909.04,Retired,1
Male,63.9,41908.13,Commercial associate,34.2,Secondary / secondary special,Married,Laborers,0,House / apartment,Good,58988.13,45302.81,0,3492.34,Employed,1
Female,63.0,77722.55,Working,27.3,Secondary / secondary special,Separated,Medicine staff,2,Municipal apartment,Good,180222.0,0.0,0,6476.88,Employed,1
Male,35.4,62401.46,Working,0.9,Secondary / secondary special,Married,HR staff,0,House / apartment,Good,91957.96,44864.55,0,5200.12,Employed,1
Female,22.6,60478.74,Working,3.6,Secondary / secondary special,Single / not married,Realty agents,1,House / apartment,Bad,16155.52,3776.59,1,5039.9,Employed,0
Male,41.0,66398.2,Working,19.4,Secondary / secondary special,Married,Security staff,0,House / apartment,Good,94742.7,92160.38,1,5533.18,Employed,1
Female,27.9,137073.39,State servant,7.9,Higher education,Civil marriage,Private service staff,2,With parents,Good,203111.71,192070.98,2,11422.78,Employed,1
Male,57.6,27849.1,State servant,20.1,Secondary / secondary special,Married,Realty agents,2,House / apartment,Bad,17110.92,4879.85,3,2320.76,Employed,0
Male,37.7,62119.55,Working,4.6,Secondary / secondary special,Single / not married,Drivers,0,House / apartment,Good,76436.23,13632.57,0,5176.63,Employed,1
Male,73.6,30847.45,Working,0.0,Secondary / secondary special,Married,Core staff,2,House / apartment,Good,37098.99,0.0,1,2570.62,Retired,1
Female,54.5,64715.52,Commercial associate,30.9,Secondary / secondary special,Separated,Accountants,0,House / apartment,Good,103214.96,0.0,0,5392.96,Employed,1
Female,64.9,30966.36,Working,29.1,Secondary / secondary special,Single / not married,Cooking staff,0,House / apartment,Good,22390.96,26453.69,0,2580.53,Employed,1
Male,25.6,39787.84,Working,7.4,Secondary / secondary special,Civil marriage,Secretaries,0,Municipal apartment,Bad,59530.41,0.0,1,3315.65,Employed,0
Female,67.1,42296.31,Working,0.0,Secondary / secondary special,Married,Accountants,2,Rented apartment,Good,28688.95,3939.13,2,3524.69,Retired,1
Female,70.6,79850.26,State servant,0.0,Incomplete higher,Married,Drivers,2,Rented apartment,Bad,93542.07,55709.59,0,6654.19,Retired,0
Female,45.8,77592.59,Working,4.3,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,30609.79,19831.87,0,6466.05,Employed,1
Female,52.6,26295.19,Working,7.8,Secondary / secondary special,Married,Secretaries,1,Municipal apartment,Good,5000.0,1914.79,2,2191.27,Employed,1
